,Job Title,Company,Description
1537,Dental Assistant (NUR-0793A) **PROVISIONAL**,NYC Health + Hospitals,"Answer telephones in a timely and professional manner; when answering the phone state name, unit, and “How may I help you""; accurately record and transmit…"
1538,Senior Full Stack Engineer,Nomad Health,"Nomad replaces antiquated staffing agencies with modern technology to efficiently source, qualify, and hire medical talent on demand."
1539,Psychiatrist,Essen Health Care,"With five clinical divisions, patient care is provided in medical offices, 16 urgent care centers, hospitals, and nursing homes, as well as directly to patients…"
1540,Senior Veterinary Technician,Weill Cornell Medicine,"Under general guidance, provides health care to laboratory animals and provides veterinary technical and surgical support to investigators and their research…"
1541,Part Time OBGYN Medical Assistant (2yrs EXP REQ),BellaDonna Medical PC,"\*Assist doctors and midwife with examination and documentation using EMR.
We are seeking a qualified part-time medical assistant to join our practice."
1542,"Director Comprehensive Dermatology Physician - Manhattan, NY",Mount Sinai,The successful applicant will collaborate effectively with our referring providers and dermatology faculty to promote comprehensive skin health and wellness…
1543,Family Medicine Physician,YAI/National Institute for People with Disabilitie...,Current New York State License and Registration to practice medicine Current CPR certification Graduate from a credentialed medical school Current Medicaid…
1544,Senior Android Engineer,Capsule,"Identify new opportunities in the mobile space that directly support Capsule's business goals.
Identify and resolve performance and scalability issues, observed…"
1545,Associate Veterinarian: University Animal Hospital,"AmeriVet Partners Management, Inc.","The staff has consistently demonstrated compassionate, loving and reasonably-priced medical care for dogs and cats living on the Upper East Side of NYC."
1546,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1547,Staff Nurse,Confidential,"Provide nursing care to the patients and support to the doctors.
Administer medicines and injections according to the time stated on their charts."
1548,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1549,Patient Service Assistant,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
1550,Patient Service Assistant - IM,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
1551,Doctor of Veterinary Medicine,Banfield Pet Hospital,"Practicing ethical veterinary medicine according to all applicable laws and codes.
Using evidence-based medicine, education, and experience to provide the…"
1552,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1553,Registered Nurse Care Manager*,The New Jewish Home,"Collaborates with provider doctors, Certified Home Health Care Agencies (CHHA) and other service providers.
The Care Management Department is currently seeking…"
1554,Nurse/RN-Full time-7am-3:30pm/Mon.-Fri.,SCO Family of Services,"Bring laboratory reports to the attention of doctor for review and signature.
Adhere to medication safety practices and processes in accordance with state…"
1555,"Corporate Director, 340B Program (Senior Director), Supply C...",NYC Health + Hospitals,"Reporting to the Senior Assistant Vice-President of Strategic Sourcing, the Senior Director of Pharmacy 340B Services will drive regulatory compliance, revenue…"
1556,"Senior Analyst, Claims Data Engineering","Remedy BPCI Partners, LLC.",This individual will be an integral part of developing and improving the Analytics team’s Claims Data Engineering systems.
1557,Medical Assistant / Receptionist (Must Be Biligual English a...,JHM Medical Office,"The assistant will manage all the daily scheduling and organizational needs of the Practice Manager and doctor, in addition to assisting with patient care."
1558,Per Diem Registered Nurse- MICU-CCU/Float,NewYork-Presbyterian Hospital,"Across NewYork-Presbyterian Queens, nurses bring compassion, talent and quality to patient care.
At least two years of ICU,CCU, MICU experience."
1559,Primary Care Physician - MD LICENSE REQUIRED,NYC Health + Hospitals,"To provide comprehensive primary care to any patient who attends the facility.
Examines patients, orders or performs appropriate therapeutic treatment, and…"
1560,"RN Supervisor, Case Management",Centene Corporation,"Conduct telephonic review of cases with doctors, hospitals, and other providers.
Position Purpose: Supervise the day to day operations of the case management…"
1561,Hospital Veterinary Technician,Petco,"Schedule appointments communicate with and educate clients, relay test results to doctor and clients, maintain and update inventory as well as client/patient…"
1562,Associate Veterinarian,Brighton-Eggert Animal Clinic,"Brighton Eggert Animal Clinic and Pet Resort.
Offering: Generous Sign on Bonus, retention bonus, relocation assistance as well as student loan assistance."
1563,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1564,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1565,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1566,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1567,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1568,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1569,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
